var,coef,word frequency
grounds,-0.641083692,21
college,0.067083721,141
involvement,-0.009921165,59
array,-0.060138133,21
population,-0.216937093,57
organise,-0.774450018,38
fest,0.058935884,75
22,-0.067655876,161
june,-0.497926658,168
showcases,0.066511707,75
talents,0.426395259,42
provides,-0.733774272,178
volunteers,-0.623647261,172
job,-0.009877013,22
opportunities,-0.742289761,1005
flexible,0.686836428,41
delivery,0.334498759,208
theme,0.465176002,252
climate,0.238386384,452
migration,0.456484059,100
status,-0.620859173,42
"
1",0.45511248,88
party,-0.108463591,74
poetry,-0.454246437,482
showcasing,-0.173627719,191
childrens,0.056318375,79
radical,-0.807603141,69
admin,-0.577148352,19
investigate,0.99315195,51
address,-0.514300334,140
value,-0.466545859,85
hidden,-0.093572586,77
workforce,-0.509354264,46
investigates,-1.076385486,21
builds,0.174369882,197
deeper,0.533357462,39
bespoke,0.43739969,147
programmes,-0.146665684,151
"
r&d",-0.106032392,13
facilitators,-0.039923277,76
what,-0.40218805,539
thrive,-0.20208232,26
pandemic,-0.627359341,302
survey,-0.145815268,35
activities,-0.354526984,820
decision,0.133559943,30
syndrome,-0.317085783,22
practices,0.527972303,175
catalyst,0.706826916,38
rest,-0.308499387,21
aa,-0.135623028,16
tie,0.12590579,15
actors,-0.1345894,410
designers,0.011592377,80
soundscape,0.528215762,62
filmmakers,-0.022703264,15
runs,-0.426210594,44
march,0.400406991,157
prior,-0.175745474,67
20,0.307936908,329
secondary,-0.110311823,85
daily,0.155337281,74
bring,0.108473081,657
energy,-0.130714955,60
attitudes,0.181965178,26
knowledge,-0.330038014,232
helps,0.802647942,43
bame,0.118477928,92
within,-0.345432444,704
wanting,-0.418427732,21
great,-0.172892615,174
library,0.247926668,252
initiatives,-0.52799391,54
connects,0.333985244,45
camden,0.405602462,75
benefit,-0.383371632,123
fostering,0.406111736,34
specific,-0.363765441,235
focuses,-0.220619668,97
such,0.082542776,412
hong,-0.313754809,11
foster,0.016890202,72
forms,-0.028268005,208
break,0.016287531,70
barriers,0.369162493,274
generations,0.52306722,91
relate,0.095119366,33
ethnic,-0.224878152,94
association,0.023610874,76
umbrella,1.117206949,15
plan,-0.216515352,373
diaspora,0.102968101,115
race,-0.035010594,97
colonialism,-0.569909326,25
examines,-0.196412672,44
diasporic,0.071814399,33
programming,-0.44075557,188
visibility,-0.241792641,69
oxford,0.433871572,100
launching,0.390643597,25
coincide,0.26320926,21
amplify,0.619532798,44
artists’,-0.29532358,59
voices,0.447852274,358
widest,0.896159436,14
economy,-0.309883053,41
urgent,-0.210992596,57
untold,-0.027272936,40
challenge,0.094358052,147
perceived,-0.879753858,15
notions,-0.737056113,29
reframe,0.2848358,12
narratives,-0.206967543,124
approach,-0.75506671,221
grow,-0.36954782,235
oxfordshire,-0.436654788,11
financially,0.924534585,59
culturally,0.09871919,77
excluded,0.707814205,40
possibility,0.168033243,17
and/or,0.107123044,67
curation,0.896160146,46
viable,0.297113589,35
option,-0.198650708,24
residencies,-0.054610056,150
roma,0.297152367,21
moved,0.224547928,22
parallel,-0.381461121,46
ten,-0.134085615,54
conflict,-0.1921835,36
she,-0.064456624,196
brixton,0.053470726,22
beach,-0.785638098,24
text,0.486422837,178
letter,0.353199979,36
ghost,0.615309127,24
streets,0.227223124,64
mapping,0.003776422,38
childhood,-0.197085907,41
home,0.117525235,417
primary,0.326633669,255
memory,0.403967905,73
book,0.029197743,460
refugee,0.17042717,198
teens,-0.261989443,18
former,0.361418733,58
letters,0.617943795,17
he,0.075090162,173
once,0.010343813,96
wrote,-0.428804563,24
forming,0.365355039,50
basis,0.150462155,79
traders,0.100925306,13
palace,-0.713025996,34
shape,0.381023203,125
don’t,0.1176927,76
they,0.032555743,1135
"
•",0.690935472,75
cohesion,0.138978475,42
deep,0.149057376,77
economic,-0.038369285,234
hugely,0.194175354,28
impacted,-0.130907166,32
forge,-0.215703134,36
offers,0.155525503,146
consultation,0.290487705,147
revamp,-0.052269648,11
"

i",0.089254541,47
keyword,-0.071872686,13
search,0.894028753,29
everywhere,0.012407992,13
extension,0.192256476,20
web,-0.028441431,51
future,0.099010263,1022
pamphlet,-1.356925842,12
reach,-0.138849626,740
"people
",0.448582242,52
visiting,-0.740371015,76
ne,0.028916909,51
yet,0.313450262,102
measures,-0.274342629,11
environmental,-0.263954659,281
regardless,-0.96990582,37
income,-0.466489136,177
takes,0.272405392,130
days,0.390352687,532
newcastle,0.279023548,90
you,-0.149086153,180
curated,0.210375183,201
duo,0.310345846,23
presents,-0.480784267,63
french,-0.244645817,28
acts,0.255613393,169
diy,0.068832492,34
mini,0.083182421,58
line,-0.128391941,120
solely,0.640662567,13
trans,0.546368332,144
binary,-0.499662803,139
streaming,-0.464946135,126
broadcasts,-0.472826838,23
highlights,0.418651627,53
plus,-0.02442614,202
numerous,0.610873349,14
curatorial,0.82818406,47
painting,-0.01762927,122
were,-0.414822455,251
taught,0.299647956,31
influenced,-0.014732345,36
recently,-0.601195651,72
catalogue,-0.243379777,29
essay,-0.095463954,15
education,-0.129719398,343
institutions,-0.772365591,61
involved,0.139256325,226
returned,0.082528211,12
spent,-0.14436136,40
recognised,0.456516828,56
brought,0.546982535,58
profit,-0.32388513,33
cross,0.241150771,270
lane,0.609812201,19
strengthen,-0.23237598,120
done,0.307666689,55
risk,0.605833133,103
curating,0.056998632,38
biggest,-0.734719536,39
kendal,0.534702109,12
seen,-0.105045096,111
usually,0.193173822,59
bands,0.216857571,123
performers,-0.929443343,489
mime,1.02756353,18
statue,-0.17526335,13
often,0.086185146,182
cohesive,0.101282286,15
nature,-0.219536575,308
community;,0.148501806,27
attracts,0.617090132,24
might,0.210258547,94
described,0.479020087,34
normally,0.156021155,66
content,-0.214963389,312
due,0.014021387,193
longer,-0.10295959,77
case,0.349867033,57
therefore,0.580970577,34
feels,0.398232475,21
hyper,1.154307684,24
relating,0.312734384,35
perspective,0.004949478,98
society,0.463400193,199
enfield,0.158041635,52
priority,1.115411251,160
council,0.036154313,244
presented,0.238145442,238
advertising,0.05435167,21
integrated,-0.164468529,110
marketed,-0.358176756,11
experimenting,-0.07390723,35
capture,0.206704366,102
ar,-0.050938681,66
youth,0.172867739,533
unit,0.425700776,26
methods,0.304973235,98
theory,0.440087733,27
orchestra,0.418625739,117
business,0.25335856,277
strategy,0.148827479,168
diversify,0.023719183,78
skill,-0.246355633,111
perfect,-0.019887182,23
pitch,0.247915068,30
history,-0.285450401,508
navigating,-0.794705879,33
attended,0.055243156,35
tutors,0.959942153,28
completion,0.187563683,28
weekly,0.512149778,246
detailing,0.075478269,11
relevant,0.060654117,247
roles,-0.64060615,141
tailored,-0.358642166,56
members,0.001254284,547
interest,0.133921482,215
discipline,-1.015948633,17
similar,0.217863235,66
paths,-0.647383653,21
increasing,0.145488979,129
meaningful,0.171485716,124
connection,0.519456791,165
green,0.267087242,153
feminist,-0.384379638,64
’22,0.043374234,11
zines,0.320180801,16
"will
",-0.052874933,168
w/,0.030141797,687
de,-0.003805114,97
colonial,1.179619113,36
archive,0.557793052,165
document,0.438831985,75
process,-0.027255286,724
print,0.23570648,86
fund,0.253962893,112
org,0.523256239,53
designer,0.27984033,170
unlock,0.776004691,21
pop,0.348812286,155
womens,-0.3963967,54
60,0.290098245,135
zine,-0.316236676,73
sell,0.08461198,53
purchase,0.055534043,28
reconnect,0.611382401,21
parents,0.288829864,119
deprived,0.57649805,126
70,-0.632416395,42
trips,-1.223492225,30
2x,0.899000315,36
participating,-0.697553641,79
they’ll,0.3272014,22
visited,-0.369669255,23
environments,-0.562475006,49
they’ve,-0.054463937,13
wider,0.327265096,604
qualified,0.005186402,18
teachers,0.571516801,142
distributed,-0.082027583,55
sign,0.29129891,44
times,-0.123617847,118
freedom,-0.297465098,78
justice,-0.221148961,80
resistance,0.212157279,24
resilience,-0.064023117,111
recording,0.03058882,264
achievements,-0.828109543,39
still,-0.5431367,114
breathing,-0.489773246,18
continues,0.728403518,55
exploration,0.20352143,169
fusion,-0.845086581,37
protest,0.251075596,13
form,-0.30590238,397
rituals,0.571687693,14
role,0.478683583,220
trauma,-0.314978984,148
another,0.03170714,104
life,-0.345006335,728
taken,-0.245250108,64
hands,0.034690052,67
police,0.018586802,26
mins,0.191295454,24
"production
",-0.359892014,21
2018,0.534107032,63
luke,-0.32499397,12
response,0.006033868,238
amazing,0.692808223,26
sky,0.464604688,12
pupils,0.067372663,131
aspirations,0.166131616,37
reflects,0.741156118,48
significant,-0.139477659,184
moon,0.472792715,32
plays,-0.440567966,122
sphere,-0.315465239,11
cast,0.032644656,355
imagery,0.817938168,37
touch,0.123346298,59
dark,0.042208469,70
side,-0.09398604,68
11,0.337571266,249
museums,-0.155267502,128
featured,0.087534515,49
geographic,0.390667636,18
background,-0.63864487,73
very,0.137496998,143
visual,-0.028665946,657
alternative,0.884912113,105
experiencing,0.223671147,85
valuable,0.545581292,51
promotional,-0.114884477,46
tool,0.030966565,110
filming,0.017557851,52
husband,-0.085600811,12
named,0.291376484,16
channel,0.915605901,51
junior,0.050429023,20
magazine,-1.119939766,45
just,0.622670982,111
expand,-0.399139558,269
youtube,-0.723431107,67
fusing,-0.701944956,33
fire,-0.142894545,57
dancing,-0.121453572,93
projection,0.22113328,103
hull,0.031025295,81
uoh,-1.01953191,11
sm,-0.097940888,11
technical,-0.017040944,122
performative,0.517183495,25
narrative,0.079814173,261
lower,-0.114285826,79
socio,-0.1814935,189
150,0.737857691,45
videography,0.526212798,20
act,0.072090624,166
medium,0.165317369,71
promoting,0.555856064,124
exercise,0.523836062,21
samples,-0.710731819,13
blending,-0.337497344,30
instruments,0.40602025,108
borders,-0.320472881,33
big,0.132303478,97
academy,0.408706437,84
we’ll,0.374279498,374
track,0.447418139,140
producers,0.054322816,200
serving,0.24386078,23
hubs,0.049148003,67
lancashire,0.345042663,31
photography,-0.158647729,214
become,0.296165309,225
largest,-0.390921767,47
european,-0.70308135,66
festivals,0.385139493,215
turned,-0.833362337,20
cities,0.232188593,75
destination,0.060949487,22
tourism,-0.026999359,12
four,0.432824859,247
range,0.630130671,508
purpose,-0.187114467,66
built,0.298416255,134
displays,-1.802487359,23
projections,0.223500314,56
walls,0.707624319,30
shopping,-0.730810813,28
offered,0.05598789,97
centres,0.322220853,148
preston,0.118800947,17
photo,0.700303636,51
parade,0.223589489,104
walks,-0.052603329,72
smith,-0.014927432,34
indian,0.654802157,109
dancer,-1.081398891,52
questions,1.349060204,113
classical,0.240551063,216
martin,-0.406738672,25
grounded,0.246860838,16
yearly,-0.000438503,11
rehearsals,-0.285022485,294
blend,0.578204691,29
benefits,0.170091901,88
behind,0.335363253,84
even,-0.640630584,77
however,-0.466170282,48
border,-0.156714648,21
encounters,-0.344479637,37
colourful,-0.176941445,19
reality,0.423414968,96
devised,0.850870056,147
final,0.021388701,333
65,0.53899144,29
"
a",-0.254449725,73
spring,0.168700603,121
season,-0.245865043,122
immigrant,-0.093532005,35
middle,-0.479035421,56
drag,0.251441474,103
political,-0.230712222,132
legacy,0.041051466,251
moments,-0.398516376,61
artsdepot,-0.53528968,21
hub,-0.259040164,163
experimentation,0.898345896,39
participate,0.027951495,210
agency,-0.69289078,102
curate,0.251090458,102
battersea,0.531320633,13
pushing,0.284803077,26
enjoyed,0.769565178,21
develops,-0.152104394,104
foundations,-0.434798754,44
laid,-0.172405452,11
disciplines,0.138369898,72
themes,-0.610706433,640
unity,-0.582968853,38
"work
",0.082718278,88
direct,-0.066641122,91
giving,-0.397056887,174
insight,-0.192561824,76
videos,0.102127303,124
choir,0.184188625,170
landscape,0.235524611,118
leading,0.122432719,392
award,-0.445841785,288
discover,-0.297076218,83
ks2,-0.106179761,27
cornwall,-0.459799812,101
words,-0.032078779,82
images,1.011962872,140
photos,0.037485153,56
printed,0.006168193,62
portable,-0.409271293,19
style,0.070174458,166
publication,0.675124867,129
cameras,-0.114909318,14
composition,-0.007678696,109
author,0.029931602,84
mike,-0.500028499,12
selling,-0.055810045,20
henry,0.281803719,21
interpretations,-0.088321483,15
included,0.232600374,65
master,0.295084165,34
feature,0.294879683,230
debut,-0.698485913,96
ep,-0.124676229,68
earth,-0.352883735,71
ranging,-0.666532177,55
singer,-0.291757251,50
songwriter,-0.606690948,17
lady,-0.146344796,17
mc,0.258496757,14
underserved,0.369746708,116
drum,-0.343572308,30
n,0.087059975,31
bass,-0.482536356,38
settings,0.028895439,121
woods,-0.301887132,15
september,0.609804248,86
virtually,-0.518383854,15
promotion,-0.124778959,100
term,0.136563631,332
careers,-0.111843153,190
dene,-0.278958567,11
coast,0.250171713,43
security,0.962878265,16
drawings,-0.08791669,43
photographs,0.158223877,61
resulting,-0.258475651,114
interesting,-0.491125387,16
discuss,0.59654326,95
refuge,0.106999249,23
escape,0.331941476,45
paintings,0.305737635,76
"
i",0.168636762,46
genre,-0.551983333,144
invites,-0.10530672,59
natural,0.412100875,140
habitats,0.011870143,13
expression,-0.837484121,150
charities,-0.46203859,81
practitioners,0.11290724,331
inc,0.196543187,293
costume,-0.349725975,133
bath,-0.9247337,53
sat,0.382703166,22
procession,0.317114866,27
sees,0.488537075,33
gardens,-0.1370806,59
plans,0.988292141,77
hybrid,0.554253173,125
if,-0.091753457,118
required,-0.813590445,33
love,-0.427817058,244
song,-0.286563785,202
intention,-0.465300191,40
performing,-0.478524503,286
songs,0.32676955,333
far,0.294711439,69
singles,0.954225059,17
bbc,0.048136795,96
right,0.110238598,55
give,-0.396857377,346
gain,0.492922947,162
cover,-0.207864708,89
needed,0.628465117,93
mother,0.272507235,71
caribbean,-0.193964384,126
windrush,0.140031647,33
during,-0.249117806,635
links,0.468084668,107
central,-0.440514998,137
finish,-0.321019387,46
props,0.279584107,70
trailer,0.274730102,37
costumes,0.386794636,126
light,0.305192507,232
"design
",0.812947894,13
refining,-0.21683677,12
end,-0.083667326,283
whom,-0.750306343,103
connectivity,0.365166567,11
connected,1.361819237,86
lonely,0.075020035,14
ever,-0.215464753,92
uplifting,-0.226057357,32
strands,0.375652794,99
application,0.491134534,180
leadership,0.565280094,110
trainee,0.222278475,39
current,-0.311428178,264
directors,-0.707707488,81
fresh,-0.640938094,50
strategic,-0.108693691,114
rolling,-0.641735481,14
birmingham,-0.27261634,234
tackle,-0.030554232,40
loneliness,-0.59508207,97
isolation,-0.149559022,151
celebrate,0.475870087,280
amplifying,-0.691367293,13
door,-0.024908985,27
dev,-0.418910453,73
"backgrounds
",0.437258952,18
repertoire,-0.046134535,68
raising,-0.055246005,84
securing,-0.600607958,30
higher,0.195541206,63
profile,0.13376,246
ecosystem,-0.467609849,12
gm,0.273647485,33
migrant,0.751890879,137
directed,-0.305580377,85
winning,-0.653569171,208
choreographer,-0.092368786,72
eating,-0.320998028,33
disorder,-0.313196584,12
depression,0.034111654,32
menopause,0.236380362,15
choreography,0.325478566,109
movement,-0.198465461,438
language,-0.066688111,215
ensemble,0.397644541,196
focusing,0.009055308,161
care,-0.130755658,354
others,0.149742718,184
presenting,-0.074387903,158
committed,0.173828804,50
choreographic,0.107097356,45
"excellence
",-0.867875048,14
exceptional,0.177056321,61
illustrators,1.287930212,23
storytellers,-0.323569617,27
reading,0.178064685,232
"
8",0.138396698,12
"
5",-0.433632774,32
kings,0.380345931,48
heath,0.143173767,15
brave,-0.084256835,15
children’s,0.608446107,138
bookshop,-0.855343787,15
accompany,0.042285001,61
olds,0.213557665,105
engaged,-0.002417616,184
sports,-0.000627774,34
lambeth,-0.761584582,32
southwark,-0.363647731,45
lewisham,0.483953861,65
volunteering,-0.147587863,84
themed,-0.448691987,97
sport,-0.257960146,18
action,-0.262776892,197
mediums,-0.521961972,31
"
our",0.467808346,32
methodology,-0.258275905,44
offering,-0.238935006,260
approaches,0.35418119,104
define,0.483088358,28
stronger,0.808701134,28
southbank,0.455736156,24
disadvantaged,-0.462969349,111
defined,0.472484194,16
remote,-0.866609966,37
railway,-0.320402606,11
box,-0.519019393,48
mindful,-0.114447584,16
developmental,-0.078972882,30
lockdowns,-0.093970809,26
sensitively,-0.33329561,11
feelings,0.487534015,57
uplift,-0.76570391,15
prove,-0.744487914,14
writers,0.233095136,474
composers,-0.849262215,107
spectacle,0.777554223,34
dressed,-0.235905415,12
embody,0.381661569,20
station,0.071062303,56
beginning,0.237461432,37
magical,1.148397376,43
rebuild,0.415159379,21
connections,-0.45285611,183
imaginative,0.197561557,39
champions,1.199627002,37
cyp,0.112216594,102
addresses,0.021331184,43
inventive,-0.557885267,12
"

it",-0.211041916,31
"involves
",0.111236892,11
wks,0.841244028,68
wk,-0.621671013,81
ed,-0.113115003,17
practical,-0.421289325,123
internships,0.389659599,17
"

we",0.062224598,163
sw,-0.197489357,77
artists;,-0.080209485,30
entry,-0.749215901,53
internship,0.462740816,21
release,-0.68944711,202
afghan,0.47364566,21
iranian,0.349412445,15
"artists
",0.211107404,71
displaced,-0.386090575,20
pr,0.265639914,108
album,0.085749531,277
"community
",-0.420190416,35
"audiences
",0.551645993,80
"art
",-0.048145586,15
broader,-0.654908424,61
important,0.07268253,170
unite,0.120547976,24
growing,-0.28455472,174
grass,-0.152973846,37
roots,-0.839893819,108
rappers,0.649284328,16
competition,-0.319023913,81
healthy,0.563429353,38
amongst,-0.068014463,70
compete,-0.401265767,12
starts,0.687780822,35
judges,-0.053614826,16
overall,-0.317118463,46
board,-0.137144086,112
top,0.057939959,116
receive,0.149199038,160
battle,0.399889886,29
singing,0.490431015,150
saturday,0.266852084,47
beneficiaries,0.738894111,22
uses,-0.031075701,153
supportive,-0.493465825,61
empowered,0.556533267,20
eg,0.151402826,238
songwriting,0.337997426,52
playing,-0.21349554,101
game,0.021489873,87
progress,-0.439448631,207
challenging,-0.554465949,93
complete,-0.239839331,139
wide,-0.154960154,330
culminating,-0.005149751,194
northampton,0.283250562,14
women’s,1.069380454,138
pivotal,-0.505730254,26
points,0.204743434,53
transition,-0.660136216,49
inaugural,0.193637318,25
celebrates,0.390944586,110
histories,-0.349904134,94
lgbtqi,0.158578604,68
"

this",-0.300163012,96
night’s,-0.318753282,11
transformation,-0.141206271,23
biennial,0.157089468,17
partnering,-0.078061004,111
every,-0.916344665,156
embed,-0.128687571,112
5th,-0.741929536,22
involving,-0.280391454,133
embrace,-0.932569524,19
locally,-0.304021647,101
planned,-0.101013675,78
relevance,0.191456234,73
popular,0.089693195,91
propose,-0.672154042,19
rehearsing,0.536958553,23
operas,0.239993092,12
magic,-0.313546237,48
dorset,0.234983667,28
putting,0.358046707,48
grand,0.133570616,35
chorus,0.190621057,48
short,0.273790804,275
philosophy,-0.105595111,14
introduction,0.043523739,26
predominantly,0.737878098,32
provision,0.058916895,132
intensive,0.204020309,76
insights,0.287047857,54
singers,0.387422158,111
general,0.139783364,110
conservatoire,0.276522309,14
engages,0.873700729,75
overlooked,0.361221029,41
exclusively,-0.414073527,19
refugees,-0.633389005,122
asylum,0.400591279,68
seekers,0.954633908,54
underrepresented,0.513500196,272
countries,0.46461407,55
languages,-0.628296097,29
abstract,-0.415477078,31
common,-0.089065614,61
represents,0.155198347,49
identities,0.502050418,82
empowering,1.136954099,77
stereotypes,0.241331483,34
reclaim,0.252457763,33
frame,-0.232782918,31
womxn,-1.148399474,28
respond,0.592008939,123
films,-0.034397158,143
craft,0.054622298,166
"

through",0.075345465,16
call,0.339517384,156
timeline,-0.564198577,11
manager,-0.860815257,117
select,0.030094058,40
cinema,-0.544481893,46
audiences/participants,1.277556661,11
adaptation,0.103517907,78
hit,-0.347789807,33
jon,0.111581292,15
single,0.359474035,90
waste,0.387479585,43
cardboard,0.513449427,16
portsmouth,0.490876657,43
before,-0.102716075,258
angel,1.085422462,20
manage,-0.508323265,43
autumn,-0.344149799,109
lockdown,-0.66625807,104
guardian,0.376506222,23
york,0.824143111,59
postcards,-0.101850089,14
exclusion,-0.946459016,16
keep,-0.104338829,64
2000,-0.34997244,30
referred,-0.447422303,16
radio,-0.167413324,194
achieve,0.113858188,128
1st,-0.190338526,183
interviews,-0.308039958,241
documentary,-0.062676735,106
contributions,-0.232034792,43
western,-0.047205935,44
editor,-0.234651389,28
titled,0.4484637,34
"project
",-0.345639766,46
death,0.509038968,75
ceramic,-0.094756008,33
ancient,-1.119635474,63
examining,0.074696991,35
appeal,-0.27592415,76
anniversary,0.269201333,80
collections,0.99051975,84
nuanced,1.368132042,11
navigate,-0.279950543,30
loss,-0.57391246,111
museum’s,-0.465923114,15
historic,0.198203327,87
lucy,0.29137694,32
le,-0.034144349,19
writer,0.569819982,218
closely,-0.253927447,72
cases,0.387547104,11
objects,0.199335002,110
"
2",-0.215730899,105
report,0.468977926,39
evaluation,-0.188462155,140
evaluate,0.449806561,51
woman,0.040736128,167
nigerian,0.543614959,18
told,0.135424656,90
lens,0.693135691,62
addressing,-0.074405033,61
printmaking,0.098992181,22
devon,-0.591499892,78
low,-0.047163811,338
48,-0.129718582,14
facilitating,0.427377894,37
progression,0.743106904,59
cpd,0.302706948,95
impairments,-0.795443507,12
additional,-0.304199163,189
needs,-0.423876429,300
impairment,0.902288442,14
courses,0.529302461,74
shift,-0.057847991,45
scope,-0.52581008,56
map,0.278172319,54
places,-0.718939718,226
liverpool,0.557033836,137
greater,0.005676742,121
given,0.647476097,113
ordinary,1.562901121,14
extraordinary,0.466564783,39
devising,0.107021758,140
types,-0.221547229,26
metropolitan,0.031444719,13
wkshps,0.735580082,51
4th,-0.364862708,32
direction,0.515198879,44
dancers,0.722021637,282
director,0.213647049,433
falmouth,0.305889515,26
bristol,-0.177601844,237
bubble,-0.400641333,12
trails,0.070959759,19
grown,0.230098289,51
ups,-0.077766299,20
yorkshire,-0.824829263,116
involve,-0.246726553,215
generated,-0.16857621,26
itself,0.000708753,67
empower,-0.026763564,104
voice,-0.024472591,253
belonging,-0.586430631,74
crawley,0.796885316,36
represent,-0.792192619,86
fully,0.107490588,169
heard,0.049057453,62
valued,0.909135704,20
lived,0.147311788,234
homelessness,0.019607547,38
disabilities,0.250568791,144
eastern,-0.002883608,67
asking,-0.201812575,52
testing,0.151426134,104
seasonal,0.35672406,25
family,-0.088745969,465
3rd,0.027988273,45
trilogy,-0.018433313,24
"
following",-0.26826351,12
npo,0.371339265,90
"
an",-0.331955797,12
extended,0.295325685,42
"
working",-0.761483259,11
partner,-0.155090894,379
borough,0.239608128,111
cat,0.098504716,24
scheme,0.791572235,102
pathways,0.624141298,81
"workshops
",0.148143158,62
intend,0.679299167,60
inviting,-0.338524698,111
alienation,0.551993309,15
mass,0.203863598,29
century,0.015375703,74
holding,-0.721791112,36
ethnicities,-0.492834007,21
gender,-0.179854113,260
join,0.5052768,115
initial,0.131804111,143
apprentice,-0.103377817,16
wave,0.731857486,30
organising,0.005577487,35
ready,0.175060241,160
assets,-0.162419714,63
worldwide,-0.905349796,63
regular,-0.458582968,110
mid,0.131995883,110
architectural,-0.54144523,22
negative,-0.153475241,34
associate,0.487075951,61
held,-0.839306553,133
celebrations,0.031357244,31
50th,0.723362748,12
harbour,0.343719891,16
vibrant,0.268227025,66
reflecting,0.650077626,102
flow,-0.322541889,12
50,0.210540839,143
city’s,0.001669146,24
trail,0.039534503,108
ownership,0.402540412,40
equitable,0.221859843,13
"festival
",0.384558991,35
think,0.51112402,69
result,0.300910463,131
completed,0.285863169,64
omnibus,0.616946337,34
dramaturgical,-0.192574265,34
advice,0.72086217,86
finally,0.174439606,42
script,0.035746177,436
potential,-0.057360358,318
priorities,-0.335081055,17
vision,-0.312819891,124
ones,-0.069525041,57
terms,-0.390413326,77
suit,-0.157414612,14
strengths,0.214886283,11
materials,-0.163055997,216
importantly,-1.036108258,13
enhanced,0.510995608,46
pride,0.026748268,115
achievement,-0.353140376,13
division,-0.354716194,16
migrants,-0.004483139,64
play’s,0.003703817,29
collaborated,-0.355979721,15
especially,0.869682311,116
24,0.27243128,173
generation,-0.36945793,163
aspiring,-0.271798291,64
boundaries,-0.166559575,64
typically,-0.492814206,30
rely,0.632053649,11
relationship,0.725763595,275
tells,-0.307545686,104
gloucester,0.321765373,21
intimacy,-1.513953614,41
decades,-1.106640765,20
bad,-0.530207543,11
intergenerational,0.430765923,148
participants’,0.362463201,33
archival,0.547663278,49
curator,-0.17659292,63
program,-0.154068933,157
institute,0.606437717,53
goal,0.263245069,79
scene,-0.029074058,144
closer,0.230353204,11
span,-0.504530156,16
europe,1.176747587,58
pink,-0.133269336,11
decade,-0.728753852,16
unknown,-0.110377002,21
increasingly,-0.916798087,30
becoming,-0.06178138,55
market,0.07912436,135
birth,-0.226142595,26
fashion,-0.170485789,56
screenings,0.72243077,87
debates,0.517339861,23
transformative,-0.725362809,31
improving,0.461252459,94
drive,0.480999755,49
prescribing,0.236521121,27
internal,-0.089234292,16
community’s,0.208358772,13
spotify,0.05786321,22
external,0.775367929,38
commercial,-0.275889991,73
sources,0.118370808,15
gigs,0.554052295,91
subsidise,-0.085995325,12
round,0.411215122,63
6th,0.283361376,21
annual,0.242686614,139
steps,0.496174576,45
strengthened,-0.338638126,12
informed,1.241825157,101
outreach,0.025431374,352
throughout,-0.299500154,252
regionally,-0.509824472,22
poets,0.426286001,186
impacts,-0.116017483,42
attending,0.540556246,54
enjoyment,0.393189896,17
reduce,-0.579761665,76
invest,-0.230782931,49
networks,-0.613886435,208
"groups
",-0.272871603,29
"schools
",-0.106005898,20
improvisation,0.053180214,62
"performances
",-0.069462191,33
consortium,1.015991166,25
doncaster,-0.243074898,26
region,0.261713181,143
operate,-0.092797242,20
completely,1.019575966,16
section,0.029779066,65
numbers,0.104089991,40
reducing,-0.143069032,31
england’s,0.286887022,20
seating,-0.24475688,16
core,-0.117141974,219
operations,0.420418969,11
addition,-0.153676853,76
visible,-0.239903267,35
invite,-0.230854449,187
improves,-0.154856923,13
inclusivity,0.102254428,105
costs,-0.195795344,116
enjoy,-0.41746162,117
leaders,0.334356408,139
personnel,0.719821536,13
platforming,0.212091513,33
prototype,-0.959437129,46
therapy,0.245999171,54
coaching,0.149505897,43
producer,-0.459140475,314
fundraising,0.449076248,54
name,-0.212479748,30
upskilling,0.486260768,30
law,-0.07621916,15
tech,0.098525277,140
exile,-0.170887987,18
shall,-0.58901515,45
recreate,1.198417186,27
thanks,0.508603695,13
pictures,-0.022317147,15
arabic,0.329843728,17
clown,0.21381819,43
rehearse,-0.181264008,154
driven,-0.454217706,75
immerse,-0.310196641,21
improvised,-0.327629935,37
evening,0.088182417,113
hearing,0.429716232,87
crafted,0.693108736,18
maximum,0.169888974,19
d/deaf,0.233764452,78
sunday,-0.649646127,45
djs,-0.576617647,56
friendly,-0.251537825,84
sonic,-0.469116067,49
r&ds,-0.657141736,19
intl,0.320881587,12
coding,1.001166742,12
documentation,0.182148429,65
shoreham,-0.034176305,14
neglected,0.156042258,12
fear,-0.575982316,31
too,0.231204222,44
looks,0.312158473,39
link,-0.137867996,63
widely,1.204224392,49
let’s,0.3377212,26
salford,-1.247477271,31
bolton,0.64177025,31
derbyshire,-0.048631086,15
boroughs,-0.078198475,28
visit,0.397921523,122
any,-0.537402497,134
collected,-0.255993627,57
stages,-0.772004885,121
homes,-0.207604297,98
staff,-0.091714765,243
raises,1.228432623,24
systemic,0.201221502,14
abuse,-0.152862223,96
encouraging,-0.491543006,119
intervention,-0.327816046,26
keen,0.261999803,54
seek,0.036122147,118
employing,-0.622139476,39
freelancers,0.317368407,77
analysis,0.238645981,17
"future
",0.108899433,16
weekends,0.457860862,20
bringing,-0.01260474,311
acclaimed,-0.441869162,142
landscapes,0.085514162,36
stimulating,0.014587566,25
attend,0.57802079,201
return,-0.979343161,110
walk,-0.031167345,76
studios,-0.321246106,159
guided,0.857237197,72
minds,-0.993934352,37
dr,-0.369082867,64
hander,0.023367058,31
“the,0.27776858,40
ending,0.088330693,53
21st,0.972847437,37
26,-0.223144223,41
passion,-0.023739246,40
